,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
248,454.51,650.0,451.08,459.07,462.17,450.0,475.27,675.0,129.6,135.62,471.12,653.8
249,650.0,451.08,459.07,462.17,450.0,475.27,675.0,129.6,135.62,471.12,653.8,517.9
250,451.08,459.07,462.17,450.0,475.27,675.0,129.6,135.62,471.12,653.8,517.9,200.88
251,459.07,462.17,450.0,475.27,675.0,129.6,135.62,471.12,653.8,517.9,200.88,415.72
252,462.17,450.0,475.27,675.0,129.6,135.62,471.12,653.8,517.9,200.88,415.72,226.62
253,450.0,475.27,675.0,129.6,135.62,471.12,653.8,517.9,200.88,415.72,226.62,191.23
254,475.27,675.0,129.6,135.62,471.12,653.8,517.9,200.88,415.72,226.62,191.23,198.53
255,675.0,129.6,135.62,471.12,653.8,517.9,200.88,415.72,226.62,191.23,198.53,107.25
256,129.6,135.62,471.12,653.8,517.9,200.88,415.72,226.62,191.23,198.53,107.25,121.01
257,135.62,471.12,653.8,517.9,200.88,415.72,226.62,191.23,198.53,107.25,121.01,213.88
258,471.12,653.8,517.9,200.88,415.72,226.62,191.23,198.53,107.25,121.01,213.88,219.41
259,653.8,517.9,200.88,415.72,226.62,191.23,198.53,107.25,121.01,213.88,219.41,100.25
260,517.9,200.88,415.72,226.62,191.23,198.53,107.25,121.01,213.88,219.41,100.25,195.24
261,200.88,415.72,226.62,191.23,198.53,107.25,121.01,213.88,219.41,100.25,195.24,197.08
262,415.72,226.62,191.23,198.53,107.25,121.01,213.88,219.41,100.25,195.24,197.08,202.44
263,226.62,191.23,198.53,107.25,121.01,213.88,219.41,100.25,195.24,197.08,202.44,420.69
264,191.23,198.53,107.25,121.01,213.88,219.41,100.25,195.24,197.08,202.44,420.69,623.62
265,198.53,107.25,121.01,213.88,219.41,100.25,195.24,197.08,202.44,420.69,623.62,623.62
266,107.25,121.01,213.88,219.41,100.25,195.24,197.08,202.44,420.69,623.62,623.62,707.82
